season,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
2023-2024,Brighton,38,12,12,14,55.0,62.0,-7.0,48
2023-2024,Everton,38,13,9,16,40.0,51.0,-11.0,48
2023-2024,Fulham,38,13,8,17,55.0,61.0,-6.0,47
2023-2024,Wolves,38,13,7,18,50.0,65.0,-15.0,46
2023-2024,Brentford,38,10,9,19,56.0,65.0,-9.0,39
2023-2024,Nott'm Forest,38,9,9,20,49.0,67.0,-18.0,36
2023-2024,Luton,38,6,8,24,52.0,85.0,-33.0,26
2023-2024,Burnley,38,5,9,24,41.0,78.0,-37.0,24
2023-2024,Sheffield United,38,3,7,28,35.0,104.0,-69.0,16
2024-2025,Liverpool,38,25,9,4,86.0,41.0,45.0,84
2024-2025,Arsenal,38,20,14,4,69.0,34.0,35.0,74
2024-2025,Man City,38,21,8,9,72.0,44.0,28.0,71
2024-2025,Chelsea,38,20,9,9,64.0,43.0,21.0,69
2024-2025,Newcastle,38,20,6,12,68.0,47.0,21.0,66
2024-2025,Aston Villa,38,19,9,10,58.0,51.0,7.0,66
2024-2025,Nott'm Forest,38,19,8,11,58.0,46.0,12.0,65
2024-2025,Brighton,38,16,13,9,66.0,59.0,7.0,61
2024-2025,Brentford,38,16,8,14,66.0,57.0,9.0,56
2024-2025,Bournemouth,38,15,11,12,58.0,46.0,12.0,56
2024-2025,Fulham,38,15,9,14,54.0,54.0,0.0,54
2024-2025,Crystal Palace,38,13,14,11,51.0,51.0,0.0,53
2024-2025,Everton,38,11,15,12,42.0,44.0,-2.0,48
2024-2025,West Ham,38,11,10,17,46.0,62.0,-16.0,43
2024-2025,Man United,38,11,9,18,44.0,54.0,-10.0,42
2024-2025,Wolves,38,12,6,20,54.0,69.0,-15.0,42
2024-2025,Tottenham,38,11,5,22,64.0,65.0,-1.0,38
2024-2025,Leicester,38,6,7,25,33.0,80.0,-47.0,25
2024-2025,Ipswich,38,4,10,24,36.0,82.0,-46.0,22
2024-2025,Southampton,38,2,6,30,26.0,86.0,-60.0,12
2025-2026,Arsenal,38,26,7,5,71.0,27.0,44.0,85
2025-2026,Man City,38,23,9,6,77.0,35.0,42.0,78
2025-2026,Man United,38,20,11,7,69.0,50.0,19.0,71
2025-2026,Aston Villa,38,19,8,11,56.0,49.0,7.0,65
2025-2026,Liverpool,38,17,9,12,63.0,53.0,10.0,60
2025-2026,Bournemouth,38,13,18,7,58.0,54.0,4.0,57
2025-2026,Sunderland,38,14,12,12,42.0,48.0,-6.0,54
2025-2026,Brighton,38,14,11,13,52.0,46.0,6.0,53
2025-2026,Brentford,38,14,11,13,55.0,52.0,3.0,53
2025-2026,Chelsea,38,14,10,14,58.0,52.0,6.0,52
2025-2026,Fulham,38,15,7,16,47.0,51.0,-4.0,52
2025-2026,Everton,38,13,10,15,47.0,50.0,-3.0,49
2025-2026,Newcastle,38,14,7,17,53.0,55.0,-2.0,49
2025-2026,Leeds,38,11,14,13,49.0,56.0,-7.0,47
2025-2026,Crystal Palace,38,11,12,15,41.0,51.0,-10.0,45
2025-2026,Nott'm Forest,38,11,11,16,48.0,51.0,-3.0,44
2025-2026,Tottenham,38,10,11,17,48.0,57.0,-9.0,41
2025-2026,West Ham,38,10,9,19,46.0,65.0,-19.0,39
2025-2026,Burnley,38,4,10,24,38.0,75.0,-37.0,22
2025-2026,Wolves,38,3,11,24,27.0,68.0,-41.0,20
